# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 326 1 1 1048603 1388775 5 /openedx/staticfiles/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 2 1 1048603 1394360 5 /openedx/staticfiles/studio/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 5 1 1048603 1385602 5 /openedx/staticfiles/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 6 1 1048603 1392599 5 /openedx/staticfiles/studio/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 1 1 1048603 1359988 5 /openedx/staticfiles/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 6 1 1048603 1369694 5 /openedx/staticfiles/studio/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 5 1 1048603 1363736 5 /openedx/staticfiles/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 2 1 1048603 1366125 5 /openedx/staticfiles/studio/dist/openassessment-lms.css
DUPTYPE_FIRST_OCCURRENCE 18019 8 2 1048603 1382973 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1367441 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1367396 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1383200 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1367463 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1390587 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1390599 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1382985 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1367300 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1383004 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1383011 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1361816 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1361369 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1382951 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1390625 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1361480 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1390565 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1390618 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1361317 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1390814 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1367799 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 9 2 1048603 1367352 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1361413 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18019 8 2 1048603 1361458 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.json
DUPTYPE_FIRST_OCCURRENCE 18599 8 3 1048603 1382888 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.d4908b1e39cc.html
DUPTYPE_WITHIN_SAME_TREE -18599 9 3 1048603 1367132 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -18599 8 3 1048603 1361149 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -18599 9 3 1048603 1390502 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.d4908b1e39cc.html
DUPTYPE_FIRST_OCCURRENCE 18457 8 3 1048603 1383193 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -18457 8 3 1048603 1382916 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -18457 9 3 1048603 1390530 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -18457 9 3 1048603 1367743 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18457 9 3 1048603 1367778 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18457 8 3 1048603 1361760 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18457 9 3 1048603 1390807 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -18457 9 3 1048603 1390788 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -18457 8 3 1048603 1383174 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -18457 8 3 1048603 1361212 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18457 9 3 1048603 1367195 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -18457 8 3 1048603 1361795 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.json
DUPTYPE_FIRST_OCCURRENCE 18537 8 4 1048603 1382959 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -18537 9 4 1048603 1367179 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -18537 9 4 1048603 1390573 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -18537 8 4 1048603 1361338 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -18537 9 4 1048603 1367229 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -18537 8 4 1048603 1361196 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.html
